filename,width,height,class,xmin,ymin,xmax,ymax
1131.jpg,854,480,cow,4,220,273,473
804.jpg,854,480,cow,230,65,623,470
804.jpg,854,480,cow,642,74,848,476
1278.jpg,854,480,cow,60,141,401,420
612.jpg,1280,720,cow,326,46,1105,511
612.jpg,1280,720,cow,199,1,791,359
612.jpg,1280,720,cow,826,198,1275,591
1002.jpg,854,480,cow,505,194,851,478
731.jpg,854,480,cow,171,88,343,421
731.jpg,854,480,cow,350,108,852,462
767.jpg,854,480,cow,600,201,848,463
767.jpg,854,480,cow,295,160,574,458
1126.jpg,854,480,cow,110,82,346,479
1126.jpg,854,480,cow,293,83,650,362
440.jpg,854,480,cow,122,204,195,309
409.jpg,1280,720,cow,132,346,202,459
409.jpg,1280,720,cow,212,353,366,501
409.jpg,1280,720,cow,468,348,600,485
409.jpg,1280,720,cow,279,550,514,720
1161.jpg,854,480,cow,4,99,115,341
1110.jpg,854,480,cow,1,142,563,480
1156.jpg,854,480,cow,310,147,480,365
118.jpg,854,480,cow,473,155,600,480
239.jpg,854,480,cow,143,140,333,477
1159.jpg,854,480,cow,357,135,638,363
446.jpg,854,480,cow,319,162,390,265
422.jpg,854,480,cow,358,206,431,294
609.jpg,1280,720,cow,387,79,1271,695
97.jpg,854,480,cow,287,222,437,301
67.jpg,854,480,cow,285,210,541,394
858.jpg,854,480,cow,199,1,504,316
858.jpg,854,480,cow,410,26,851,476
279.jpg,854,480,cow,425,221,760,472
510.jpg,854,480,cow,325,96,663,338
971.jpg,854,480,cow,3,241,814,473
971.jpg,854,480,cow,254,140,544,249
659.jpg,640,360,cow,155,158,263,216
659.jpg,640,360,cow,247,124,388,208
659.jpg,640,360,cow,394,56,628,215
516.jpg,854,480,cow,333,150,676,375
1246.jpg,854,480,cow,362,135,715,425
371.jpg,854,480,cow,38,75,593,471
772.jpg,854,480,cow,377,90,459,206
931.jpg,854,480,cow,2,92,572,480
1195.jpg,854,480,cow,61,182,248,337
1195.jpg,854,480,cow,261,149,466,291
1195.jpg,854,480,cow,553,147,815,332
393.jpg,1280,720,cow,437,201,881,714
393.jpg,1280,720,cow,139,328,220,542
736.jpg,854,480,cow,1,17,470,480
264.jpg,854,480,cow,336,65,526,475
974.jpg,854,480,cow,220,131,525,282
974.jpg,854,480,cow,3,260,773,480
794.jpg,854,480,cow,323,130,519,480
817.jpg,854,480,cow,5,236,402,480
817.jpg,854,480,cow,510,146,848,475
482.jpg,854,480,cow,321,77,623,312
1052.jpg,854,480,cow,1,62,662,480
1057.jpg,854,480,cow,14,81,673,471
24.jpg,854,480,cow,382,152,497,277
246.jpg,854,480,cow,548,233,743,478
680.jpg,640,360,cow,215,143,416,296
680.jpg,640,360,cow,129,145,246,242
91.jpg,854,480,cow,270,227,416,353
1248.jpg,854,480,cow,370,188,581,405
580.jpg,854,480,cow,723,156,850,284
1190.jpg,854,480,cow,324,205,505,360
485.jpg,854,480,cow,288,172,555,385
854.jpg,854,480,cow,153,1,475,271
854.jpg,854,480,cow,339,1,854,478
882.jpg,854,480,cow,332,106,655,280
882.jpg,854,480,cow,355,178,850,468
16.jpg,640,360,cow,154,85,327,266
832.jpg,854,480,cow,1,254,501,480
832.jpg,854,480,cow,254,134,842,468
667.jpg,640,360,cow,366,100,505,215
667.jpg,640,360,cow,490,87,638,309
195.jpg,854,480,cow,226,126,552,477
388.jpg,1280,720,cow,557,128,827,720
435.jpg,854,480,cow,632,93,848,477
480.jpg,854,480,cow,293,130,574,375
365.jpg,854,480,cow,58,129,616,480
256.jpg,854,480,cow,389,131,633,475
1056.jpg,854,480,cow,18,80,695,479
1021.jpg,854,480,cow,7,70,622,471
1001.jpg,854,480,cow,495,195,846,477
140.jpg,854,480,cow,478,151,696,480
110.jpg,854,480,cow,282,188,617,403
386.jpg,854,480,cow,184,25,676,443
1013.jpg,854,480,cow,4,99,670,471
464.jpg,854,480,cow,393,167,527,320
20.jpg,640,360,cow,279,89,435,200
948.jpg,854,480,cow,1,45,456,472
1157.jpg,854,480,cow,347,149,643,363
411.jpg,1280,720,cow,402,308,633,504
411.jpg,1280,720,cow,616,270,761,418
411.jpg,1280,720,cow,751,287,870,494
81.jpg,854,480,cow,356,194,504,322
604.jpg,1280,720,cow,367,193,506,394
604.jpg,1280,720,cow,442,245,722,590
604.jpg,1280,720,cow,657,349,1274,714
90.jpg,854,480,cow,268,227,414,352
202.jpg,854,480,cow,48,143,370,478
1103.jpg,854,480,cow,3,139,634,475
258.jpg,854,480,cow,4,221,227,479
553.jpg,854,480,cow,314,79,621,286
276.jpg,854,480,cow,4,95,616,480
254.jpg,854,480,cow,248,186,468,476
341.jpg,854,480,cow,1,226,295,480
503.jpg,854,480,cow,292,117,599,325
199.jpg,854,480,cow,286,201,589,473
354.jpg,854,480,cow,220,137,517,477
869.jpg,854,480,cow,167,2,460,311
869.jpg,854,480,cow,384,20,843,465
402.jpg,1280,720,cow,735,135,1192,707
493.jpg,854,480,cow,264,155,463,249
217.jpg,854,480,cow,431,81,848,474
1155.jpg,854,480,cow,329,159,544,354
658.jpg,640,360,cow,251,123,360,177
658.jpg,640,360,cow,343,84,492,165
658.jpg,640,360,cow,493,7,640,213
555.jpg,854,480,cow,286,132,591,327
1041.jpg,854,480,cow,1,94,648,480
540.jpg,854,480,cow,364,96,630,297
488.jpg,854,480,cow,4,198,298,403
33.jpg,854,480,cow,123,161,510,377
1216.jpg,854,480,cow,219,1,612,479
765.jpg,854,480,cow,646,199,849,475
765.jpg,854,480,cow,467,171,622,469
416.jpg,1280,720,cow,702,286,868,471
416.jpg,1280,720,cow,846,294,997,397
416.jpg,1280,720,cow,1015,284,1273,390
416.jpg,1280,720,cow,1128,353,1275,521
930.jpg,854,480,cow,1,77,538,480
349.jpg,854,480,cow,311,189,812,477
1018.jpg,854,480,cow,12,121,639,480
1146.jpg,854,480,cow,37,149,549,466
1019.jpg,854,480,cow,43,86,658,473
740.jpg,854,480,cow,34,110,852,477
527.jpg,854,480,cow,393,144,689,398
51.jpg,854,480,cow,301,200,517,383
1244.jpg,854,480,cow,315,112,762,432
670.jpg,640,360,cow,364,166,479,231
531.jpg,854,480,cow,318,89,619,341
769.jpg,854,480,cow,439,153,849,475
769.jpg,854,480,cow,248,137,457,410
616.jpg,1280,720,cow,523,105,1278,719
616.jpg,1280,720,cow,306,2,1191,614
616.jpg,1280,720,cow,288,4,871,271
1139.jpg,854,480,cow,629,96,827,383
981.jpg,854,480,cow,57,68,616,480
187.jpg,854,480,cow,425,32,854,480
28.jpg,854,480,cow,220,177,511,375
1116.jpg,854,480,cow,1,166,429,473
696.jpg,854,480,cow,202,85,457,369
260.jpg,854,480,cow,207,84,462,474
245.jpg,854,480,cow,586,132,768,477
1073.jpg,854,480,cow,4,182,271,480
1073.jpg,854,480,cow,283,216,537,480
138.jpg,854,480,cow,543,158,782,480
420.jpg,854,480,cow,314,231,523,390
884.jpg,854,480,cow,330,88,854,187
884.jpg,854,480,cow,293,138,844,477
267.jpg,854,480,cow,281,113,501,419
960.jpg,854,480,cow,86,97,609,480
57.jpg,854,480,cow,372,217,540,319
935.jpg,854,480,cow,1,100,539,477
1158.jpg,854,480,cow,400,143,710,373
367.jpg,854,480,cow,3,196,426,480
377.jpg,854,480,cow,377,221,577,480
662.jpg,640,360,cow,36,169,141,234
662.jpg,640,360,cow,121,127,273,226
662.jpg,640,360,cow,267,83,490,271
645.jpg,1280,720,cow,537,3,1271,703
645.jpg,1280,720,cow,9,91,578,709
581.jpg,854,480,cow,213,312,386,435
263.jpg,854,480,cow,411,69,582,474
441.jpg,854,480,cow,243,185,311,290
520.jpg,854,480,cow,264,52,589,329
262.jpg,854,480,cow,316,73,544,475
628.jpg,1280,720,cow,992,183,1280,720
628.jpg,1280,720,cow,535,134,1020,580
875.jpg,854,480,cow,262,167,577,459
875.jpg,854,480,cow,568,225,844,473
997.jpg,854,480,cow,401,176,781,476
382.jpg,854,480,cow,153,4,646,402
289.jpg,854,480,cow,161,165,537,480
253.jpg,854,480,cow,93,154,321,476
163.jpg,854,480,cow,442,165,675,480
672.jpg,640,360,cow,444,148,633,293
672.jpg,640,360,cow,356,135,467,280
